%Freq.	V(vout)
2.72270130807793e+000	5.00007914834189e-001,-1.88558655595147e-004
2.75422870333818e+000	5.00014143112676e-001,-2.64597462466359e-004
2.78612116862979e+000	5.00000273691686e-001,-4.60923666284028e-005
2.81838293126447e+000	5.00002974312990e-001,-1.08623460689796e-004
2.85101826750393e+000	4.99998336799516e-001,-1.29845311630206e-004
2.88403150312662e+000	5.00002988344622e-001,-7.16818450355153e-005
2.91742701400118e+000	5.00008828343041e-001,-1.77475497571966e-004
2.95120922666640e+000	5.00001302325791e-001,-1.78031117693792e-004
2.98538261891798e+000	5.00007039602642e-001,-1.34125989253628e-004
3.01995172040204e+000	5.00005506957602e-001,-5.98486769474338e-005
3.05492111321553e+000	4.99996948046202e-001,-1.61213280916677e-004
3.09029543251361e+000	4.99998072971258e-001,-7.61273560295324e-005
3.12607936712398e+000	4.99998311412442e-001,-1.32620692957225e-004
3.16227766016840e+000	4.99996185663124e-001,-1.15877909151157e-004
3.19889510969142e+000	5.00000682927912e-001,-1.47012951632132e-004
3.23593656929630e+000	5.00004268353236e-001,-1.07126744057154e-004
3.27340694878840e+000	5.00005539015332e-001,-1.84122154205507e-004
3.31131121482593e+000	5.00007105908225e-001,-2.47948125890675e-004
3.34965439157830e+000	4.99997029988810e-001,-1.34763249881917e-004
3.38844156139205e+000	4.99999122448279e-001,-1.75388035026139e-004
3.42767786546453e+000	4.99997846748940e-001,-1.65317015478045e-004
3.46736850452534e+000	5.00004491497945e-001,-1.22692275414139e-004
3.50751873952571e+000	4.99997218721203e-001,-1.13547060459004e-004
3.54813389233578e+000	4.99994803871020e-001,-1.52790244309473e-004
3.58921934645008e+000	5.00000306552584e-001,-1.85906692826511e-004
3.63078054770104e+000	5.00001967173351e-001,-1.66061977595257e-004
3.67282300498087e+000	4.99999516806705e-001,-2.19040062323141e-004
3.71535229097175e+000	5.00005842332249e-001,-2.04474026840764e-004
3.75837404288447e+000	4.99998664358234e-001,-1.70092215912358e-004
3.80189396320564e+000	4.99999146622983e-001,-1.36548366507051e-004
3.84591782045357e+000	4.99997762927629e-001,-1.43292567785382e-004
3.89045144994284e+000	4.99997461192377e-001,-1.79202283457644e-004
3.93550075455781e+000	4.99997904902125e-001,-1.27573943010219e-004
3.98107170553500e+000	4.99997129740604e-001,-1.10543572047219e-004
4.02717034325462e+000	4.99999176824510e-001,-1.55211428307580e-004
4.07380277804116e+000	4.99995813422443e-001,-1.52351488941188e-004
4.12097519097334e+000	5.00000348688967e-001,-1.81846512675719e-004
4.16869383470339e+000	4.99996618823906e-001,-1.10602861396509e-004
4.21696503428586e+000	5.00001414717112e-001,-1.94020512949004e-004
4.26579518801596e+000	4.99997949270422e-001,-1.95541512793814e-004
4.31519076827769e+000	5.00002785409486e-001,-2.01486294806712e-004
4.36515832240170e+000	4.99999953710174e-001,-1.63891437378291e-004
4.41570447353316e+000	4.99999995440389e-001,-1.91669213522939e-004
