Freq.	V(vout)
2.81838293126447e+000	4.99999487501782e-001,-1.11797582610534e-004
2.85101826750393e+000	4.99999487210654e-001,-1.13092138660607e-004
2.88403150312662e+000	4.99999486912739e-001,-1.14401684939704e-004
2.91742701400118e+000	4.99999486607890e-001,-1.15726393270679e-004
2.95120922666640e+000	4.99999486295942e-001,-1.17066442815655e-004
2.98538261891798e+000	4.99999485976712e-001,-1.18422006332498e-004
3.01995172040204e+000	4.99999485650059e-001,-1.19793269294242e-004
3.05492111321553e+000	4.99999485315788e-001,-1.21180409484769e-004
3.09029543251361e+000	4.99999484973736e-001,-1.22583613454229e-004
3.12607936712398e+000	4.99999484623722e-001,-1.24003064552990e-004
3.16227766016840e+000	4.99999484265550e-001,-1.25438952504219e-004
3.19889510969142e+000	4.99999483899041e-001,-1.26891466101345e-004
3.23593656929630e+000	4.99999483523986e-001,-1.28360800782827e-004
3.27340694878840e+000	4.99999483140200e-001,-1.29847148443588e-004
3.31131121482593e+000	4.99999482747474e-001,-1.31350708119009e-004
3.34965439157830e+000	4.99999482345598e-001,-1.32871676463105e-004
3.38844156139205e+000	4.99999481934362e-001,-1.34410258877193e-004
3.42767786546453e+000	4.99999481513544e-001,-1.35966655769831e-004
3.46736850452534e+000	4.99999481082928e-001,-1.37541075906548e-004
3.50751873952571e+000	4.99999480642283e-001,-1.39133725779040e-004
3.54813389233578e+000	4.99999480191373e-001,-1.40744818514622e-004
3.58921934645008e+000	4.99999479729958e-001,-1.42374566576740e-004
3.63078054770104e+000	4.99999479257799e-001,-1.44023186456219e-004
3.67282300498087e+000	4.99999478774637e-001,-1.45690896479451e-004
3.71535229097175e+000	4.99999478280222e-001,-1.47377917503495e-004
3.75837404288447e+000	4.99999477774296e-001,-1.49084472945387e-004
3.80189396320564e+000	4.99999477256576e-001,-1.50810789922003e-004
3.84591782045357e+000	4.99999476726802e-001,-1.52557096837552e-004
3.89045144994284e+000	4.99999476184694e-001,-1.54323624302090e-004
3.93550075455781e+000	4.99999475629946e-001,-1.56110607826743e-004
3.98107170553500e+000	4.99999475062288e-001,-1.57918283635893e-004
4.02717034325462e+000	4.99999474481402e-001,-1.59746891363120e-004
4.07380277804116e+000	4.99999473886988e-001,-1.61596673416825e-004
4.12097519097334e+000	4.99999473278721e-001,-1.63467873458052e-004
4.16869383470339e+000	4.99999472656291e-001,-1.65360741984108e-004
4.21696503428586e+000	4.99999472019367e-001,-1.67275529922146e-004
4.26579518801596e+000	4.99999471367602e-001,-1.69212488884460e-004
4.31519076827769e+000	4.99999470700655e-001,-1.71171877197362e-004
4.36515832240170e+000	4.99999470018174e-001,-1.73153953939975e-004
4.41570447353316e+000	4.99999469319794e-001,-1.75158981865278e-004
4.46683592150967e+000	4.99999468605150e-001,-1.77187227434908e-004
4.51855944374926e+000	4.99999467873862e-001,-1.79238958855998e-004
4.57088189614879e+000	4.99999467125535e-001,-1.81314448337265e-004
4.62381021399265e+000	4.99999466359776e-001,-1.83413970348699e-004
4.67735141287203e+000	4.99999465576186e-001,-1.85537803878483e-004
4.73151258961485e+000	4.99999464774339e-001,-1.87686230249432e-004
4.78630092322643e+000	4.99999463953815e-001,-1.89859534266540e-004
4.84172367584104e+000	4.99999463114179e-001,-1.92058004032685e-004
4.89778819368451e+000	4.99999462254987e-001,-1.94281930986810e-004
4.95450190804795e+000	4.99999461375783e-001,-1.96531609276426e-004
5.01187233627277e+000	4.99999460476096e-001,-1.98807338239182e-004
5.06990708274709e+000	4.99999459555457e-001,-2.01109419111717e-004
5.12861383991370e+000	4.99999458613370e-001,-2.03438156179872e-004
5.18800038928966e+000	4.99999457649340e-001,-2.05793858373459e-004
5.24807460249778e+000	4.99999456662856e-001,-2.08176838863086e-004
5.30884444230994e+000	4.99999455653393e-001,-2.10587413547236e-004
5.37031796370258e+000	4.99999454620415e-001,-2.13025900205963e-004
5.43250331492439e+000	4.99999453563377e-001,-2.15492623650272e-004
5.49540873857630e+000	4.99999452481717e-001,-2.17987910435898e-004
5.55904257270409e+000	4.99999451374862e-001,-2.20512091349139e-004
5.62341325190355e+000	4.99999450242225e-001,-2.23065500562521e-004
5.68852930843847e+000	4.99999449083207e-001,-2.25648478121649e-004
5.75439937337163e+000	4.99999447897191e-001,-2.28261363550761e-004
5.82103217770877e+000	4.99999446683549e-001,-2.30904505446058e-004
5.88843655355595e+000	4.99999445441636e-001,-2.33578253083898e-004
5.95662143529017e+000	4.99999444170798e-001,-2.36282961796325e-004
6.02559586074364e+000	4.99999442870357e-001,-2.39018989687370e-004
6.09536897240176e+000	4.99999441539627e-001,-2.41786699012849e-004
6.16595001861489e+000	4.99999440177896e-001,-2.44586456672525e-004
6.23734835482426e+000	4.99999438784450e-001,-2.47418633814655e-004
6.30957344480200e+000	4.99999437358543e-001,-2.50283606440291e-004
6.38263486190556e+000	4.99999435899427e-001,-2.53181754120780e-004
6.45654229034662e+000	4.99999434406320e-001,-2.56113460270145e-004
6.53130552647479e+000	4.99999432878435e-001,-2.59079114083394e-004
6.60693448007603e+000	4.99999431314962e-001,-2.62079108700655e-004
6.68343917568622e+000	4.99999429715071e-001,-2.65113841592341e-004
6.76082975391989e+000	4.99999428077912e-001,-2.68183714722900e-004
6.83911647281437e+000	4.99999426402619e-001,-2.71289135603332e-004
6.91830970918944e+000	4.99999424688305e-001,-2.74430515013661e-004
6.99841996002281e+000	4.99999422934058e-001,-2.77608270832264e-004
7.07945784384146e+000	4.99999421138951e-001,-2.80822822650967e-004
7.16143410212910e+000	4.99999419302030e-001,-2.84074597715075e-004
7.24435960074998e+000	4.99999417422321e-001,-2.87364025650773e-004
7.32824533138912e+000	4.99999415498827e-001,-2.90691544073388e-004
7.41310241300926e+000	4.99999413530531e-001,-2.94057593316113e-004
7.49894209332465e+000	4.99999411516387e-001,-2.97462619264031e-004
7.58577575029193e+000	4.99999409455327e-001,-3.00907073635307e-004
7.67361489361828e+000	4.99999407346258e-001,-3.04391412930794e-004
7.76247116628701e+000	4.99999405188064e-001,-3.07916098938646e-004
7.85235634610081e+000	4.99999402979598e-001,-3.11481598684519e-004
7.94328234724291e+000	4.99999400719691e-001,-3.15088385603725e-004
8.03526122185627e+000	4.99999398407143e-001,-3.18736936717302e-004
8.12830516164109e+000	4.99999396040732e-001,-3.22427735692992e-004
8.22242649947081e+000	4.99999393619197e-001,-3.26161272909351e-004
8.31763771102681e+000	4.99999391141260e-001,-3.29938041634814e-004
8.41395141645205e+000	4.99999388605602e-001,-3.33758543422376e-004
8.51138038202387e+000	4.99999386010881e-001,-3.37623284623234e-004
8.60993752184611e+000	4.99999383355721e-001,-3.41532777564139e-004
8.70963589956092e+000	4.99999380638715e-001,-3.45487540282243e-004
8.81048873008025e+000	4.99999377858423e-001,-3.49488096704806e-004
8.91250938133757e+000	4.99999375013367e-001,-3.53534977495849e-004
9.01571137605968e+000	4.99999372102044e-001,-3.57628718905200e-004
9.12010839355921e+000	4.99999369122906e-001,-3.61769863505733e-004
9.22571427154775e+000	4.99999366074376e-001,-3.65958960709392e-004
9.33254300797003e+000	4.99999362954835e-001,-3.70196564730524e-004
9.44060876285936e+000	4.99999359762632e-001,-3.74483238434255e-004
9.54992586021448e+000	4.99999356496072e-001,-3.78819549192090e-004
9.66050878989826e+000	4.99999353153426e-001,-3.83206071843819e-004
9.77237220955824e+000	4.99999349732917e-001,-3.87643388440649e-004
9.88553094656952e+000	4.99999346232736e-001,-3.92132086212838e-004
1.00000000000001e+001	4.99999342651025e-001,-3.96672761089374e-004
1.01157945425991e+001	4.99999338985885e-001,-4.01266014446161e-004
1.02329299228077e+001	4.99999335235373e-001,-4.05912454851150e-004
1.03514216667936e+001	4.99999331397500e-001,-4.10612698367077e-004
1.04712854805091e+001	4.99999327470232e-001,-4.15367368633119e-004
1.05925372517730e+001	4.99999323451487e-001,-4.20177094838047e-004
1.07151930523762e+001	4.99999319339131e-001,-4.25042515245466e-004
1.08392691402122e+001	4.99999315130988e-001,-4.29964274502769e-004
1.09647819614320e+001	4.99999310824824e-001,-4.34943024947868e-004
1.10917481526242e+001	4.99999306418356e-001,-4.39979426695674e-004
1.12201845430198e+001	4.99999301909249e-001,-4.45074147170471e-004
1.13501081567233e+001	4.99999297295111e-001,-4.50227861638492e-004
1.14815362149690e+001	4.99999292573497e-001,-4.55441253186420e-004
1.16144861384036e+001	4.99999287741901e-001,-4.60715012811940e-004
1.17489755493955e+001	4.99999282797763e-001,-4.66049840070454e-004
1.18850222743704e+001	4.99999277738462e-001,-4.71446441280366e-004
1.20226443461743e+001	4.99999272561314e-001,-4.76905532503402e-004
